id	width	height	rgba_sha256	output_sha256	output_bytes	project_status	project_kind	project_offset	project_context	dwebp_status	dwebp_error
clic-validation-010	1434	1123	647001d03d345dd48ab10613306f35edc10229a01aa916b0900e4800217845c0	8dbf4af1d4a0b6a651cf33c31e91d1e3da6eb0a53feeb1fa1d5b68470b3e2829	4596850	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689031608889000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-011	996	756	374b2d4f124fa5fb0177096bfd925119aea186fc7c8157c883a2725af577b5eb	7f85f1b8d9a07524d5ab2eda5c081b6c7d32954f996d27a0cf3d61a39ab386b2	2219464	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689031719312000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-012	1632	1224	c8edf7612f5d1f16a2ae9a52afc6caf5e63a910c515c93121711d3c8e10c597d	4eb4c45ee7295bea4f1bbc062b6aa810b4e8cda20bdd2d5c6a7e5e7a89579ed8	5327640	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689031886587000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-013	1632	1224	28b672a908dd90e5e2bee7d9b3a9fd6bb8ae495fdfa71f48a5f74fb1b20ea276	7df80914d5baf53b6027e710e5221061c610d22ee7985ccbc73cbe781efbc42a	5522704	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689032080394000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-014	1632	1224	cd73bd910bffa6db55e4ab36f72f3d9423eda3776378889e396a757da6526620	7b843662474eb652e3d9f6a9e1adb275776c861f30d8c92d4829ecad30ea5322	5417568	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689032276139000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-015	1632	1224	8ce2772c974ad00e40498300e40da6c99d1f10886e9039440ad9c47bed152e93	afbddf3d23e35cf86392beebe2cfdd37db1c965f81f9fb45188882ba3bc96b80	5769074	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689032469484000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-016	1632	1224	0bc09ecfbe8c949536a2ff2eda6b3ee8ea23250cc8ab6183ce4d426c2f4c987a	56bab5858f84c1b06276596d265bb6cee2bccaa553eb1885ce53d452de37f42f	5331074	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689032690381000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-017	1512	2016	839c252e130811c2fdbda5c0c9fc291d118c581c4a9f938d5ebb5c8c0f8735b3	269b4c3c096929f584f4b72d7dcdffc8a484584a5d5f9c3414802799897af22c	6910582	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689032994358000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-018	1224	1632	af6fd3d2d634b0548ebd67f27bb543b7c9cd43396ed8acb2077eebc131c74b4f	a44d83f36ddf4b0a7d42628c45567ba6e6da0a23d4dd9e889f5c3789650d5596	5479718	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689033234735000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-019	1632	1224	b6336b79bb2c1066a83d29a4347345626621d2ad6429d868285549f24db13df4	ffc385fe2097e9b11f7977ef984ee9ec7b9799c6f6b19daf815e402f3dbcff87	4600256	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689033454027000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-020	2048	1153	8b8c9024076f393ab20b8738aed043dbe2eb4a58ab210fbdba0f181e51725608	03e9dd099532c845fe628b63f3534e6c2caf621c5f0e635e6117423040caf4b2	6941342	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689033670984000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-021	1616	1212	ca9ddfe863e10470bf994e9b156967ba1e9f0f508c124ff57ef78ff777bff60d	53d15133c5616a743b1e60a698001cbbcc19248ec79628fc18b40212d8d654f7	4572734	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689033949471000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-022	1153	2048	d84bb6d6d2417a9231d87176cdf843f4ebe8e52e566ffd7b12f19836a6d2df7b	3dae785f333807fe4e8aa107aff72052105b195bf0a6ae9cf5f2bb97fcd2e3f9	5589618	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689034197270000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-023	2048	1153	cc6a9392c55ce07a6b586d1132cf6d8963cd16f012e14e65d8499545d9c40c8c	6b9f1e68a77db4b9f3bf3fd23089946ae9886dec1ca4dd5d98336070b212cd37	5744942	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689034421353000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-024	1512	2016	ba448b92963bf0db7aeababbb5fc5646aa5e452a620e497f6ea590b3fd0db855	8d8516aed30d8144b35f587ebc103344df60aa7a1276d01f716cf53d95885985	7019090	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689034736911000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-025	2016	1512	42e4df867911b04444d7e650f727a9565c9bfa3b110823a1bd75367da78d7b2d	85c925eb3b10036abdf376947df95b148a9d43999095cc102d2a244f7144e498	8105312	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689035055674000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-026	1520	2048	ac039f1c2680c0c10442fac0ff77df1348877b89171ce02b9e4049cb08285aa4	c654c3f56c0924f12a2230bc95ccf10c69c6f43d4ac239566eb55aaf0b3abb3a	8891084	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689035348805000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-027	1496	2000	d3a29b6e31cd4e523230c3822219bffe51e8a837336e70e261ab9edd599978cc	ef4b6e0dbe1c0c82d979fcab0a3d85e9117178061f568856044f5dc0fad703ce	5964034	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689035675959000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-028	2000	1496	ac9a884d789b769140de5499a0895155ce24266a6db5b67bdf0d3bc8e9390d13	715cd684d83130218931a0d77d33054e199a242af4a1ce83231b00740aa24198	6561444	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689035990971000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-029	1512	2016	082de0094ebd6138f12d03b9b7b55f1a06513422d6c87705d17223529e23e525	75f63b3486ce43ff087a006ce30315293780f052005219f493e76339f3c93d3c	6136958	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689036297893000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-030	2000	1496	95b44ea56ee7ba17637e62042c2f6e6bf409568a1586bf0a94af3294e86b883b	f3405d6f1902cb6277daf6d9c7d0524cda12d5ed45f5a4934e5a96b0211cd457	8570450	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689036604528000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-031	1512	2016	90d4ec8874c1158087b6c3ac072c656ace97aa4f4b84d22076a217c597c6b7df	df8e8759ccae33212c190b5d89d1606facdd30114dadcefaf2e83c4e774e8367	7531522	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689036925667000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-032	2016	1512	33e0a6e0ad5b6ecfc74188660abdacb8e2d7fa883a6f90deb9fb1c7b815eb283	d74c06acde0dd8becbe469538216fa84496888ec5cc905989f497244619d1d4b	7299398	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689037240333000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-033	2016	1512	68ad24bffead31869b1a2ddf0f40f4e626824307dd50b45ee44eb3008ea0a690	c76b4632f924189ee3854bff625730e2eaeaab7cf2c6f774f2690e14ca7cb647	8069182	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689037557547000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-034	1518	2024	57d189ab0a1cc49f3ce297f7047137d743a4818ea26fd673ce091f5d6a7e4f6f	bdf6c4a75abf89eafc848b05472be82b124a9050584242926a266806afb9bb1e	8618366	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689037840725000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-035	2024	1518	59f96b2123883414beb6a36cdca344e463238a53295dc3b0c91a0373c8664c86	51a8cdbaedeb764671e7038842c5102cdb7a8abb4281478d39e51dfab60d42b0	8048070	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689038168291000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-036	1518	2024	b79167c9ee2c48cf57e758385664939ce091f8f0217547f9d6e14f107b30fc79	d2b0a32e4bd37f006cc31439911d33f4292b93300e989924dfc8b1d98359532a	8305656	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689038446171000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-037	2024	1518	436edbc9724ab41cde30c60e3bd6051a680629f1fefe0b6e0ffcd29dd209b449	e0dc9e70c36b841c08390005b415a9653f47f6034af9b455c7ef1ae5c428cb88	8246464	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689038769520000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-038	1512	2016	3cb4279c9d1465e9b04bde8d8941a70f026d3838beb771f9bcec6c34bfc9679f	fc8c2020787e51b8e617bbcb79c9b9121eb19328bcfaad5e6441a1d111bc5d7e	7673578	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689039089226000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-039	1512	2016	f33a53010a69a3eecdff6bdb7f952aed3db652ea34b9f5ddee2320c62d75467a	85c79a2b3ef2d9c382c646e9c8d341e906301faa6c9cf6dff272ed93a8935833	8203404	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689039406340000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-040	2016	1512	6db4ba0674980796eb6b704fae4f2f283c56776b406159d0923b9b867f0b492e	90e995936bb1b0389841ad268790f4adae0e3f06d61af7faffaee642f16b01b0	7870646	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689039726906000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-041	2016	1512	56fd0ff30be16e85b26206cb9f57130c890de0f226d1b71837d7785d81f554fd	1036896fdf5858e4f1b49481e925142a4ff118d3505fb11fddbe6aba162cb228	8610668	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689040007137000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-042	2016	1512	1ec78bf20e6e09380f2e74d7bcd91d1e46641bf8fcb4ef66e75e5895dbd78f01	b045da957627c4c02c44dfbbb71d2f8c646a77726a4c19344270ecdd9a33fe36	8454476	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689040296710000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-043	1518	2024	abc980b2c855bb1f25a7c7b7063daa94cd195bd2a458d401275350f88382f4ce	0751d54bf5f4f34aa62170c3939af67818ab75503adaf0c0f923da35c8f92f96	8701170	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689040585575000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-044	2024	1518	64136279ce0e67075551dad5d88d38c894a365d6f8ae658998066d1b958c9914	97369072db9d05f4bb56916574b56595d4d33d24cd3f8031225e18707a2732b4	8235844	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689040872494000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-045	1518	2024	e7a2cfbcaf0ba7df40bbefdcc85a4b75d2ede5f57e731c4be169593b05e5586e	94063fb5abd95806d74c9e7286665d63dfa74dec98afee387962e5c068938794	8371812	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689041160189000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-046	2024	1518	a2bf71b164787533df72619aebe887b64937bb0af90b0ce655b5c0d0de63ef9f	873e4441540fa00aef37e32cadb6cb8822b7b372fb989a8a2275dc8b37e62167	8322816	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689041447353000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-047	2016	1512	e7cdcfb34b4738ddc7643d85cbc1ca240e12d7aa4092b59b63e7301903b99c3e	5ed03ec2c85e9a639341b23e584590cd8ad8e408bea49a6ec2e47a88ab10adb8	8190702	error	InvalidBitstream		VP8L Huffman tree is incomplete	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689041777249000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-048	2024	1518	a12c1fea230cea438819dbb33369d689892c7043047e3ad393c2ed8495ad63ff	0fd97bc19f82d0d94dcd67e7c03e9e11487b958b5afd5d84ff62ad65cc8714c1	8200010	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689042059411000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-049	2016	1512	412d424e373b05030530aefad3f2cc30c559df0c19b99e2d97da0637cbe4c8f0	5d281c1e8ecd3215cf95a619bfc3b604890fda36972fc88f14376bfd37820574	8104132	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689042378547000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-050	1512	2016	5f742dd392a783c4746bcab1c1f54681aac0930d256181f25fa745354283a9ba	066e1958e0937d7abd31a1a8a068e684230885d036835acdc511a677c723e17d	8183580	error	InvalidBitstream		VP8L Huffman tree is incomplete	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689042692370000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-051	2024	1518	9bad8424c6c4b06bc848fc030fa681f6c755ad77d3837fd53186fe7b90e63296	1f34b0a3843b45507a9e39b046a636bca34bb86a06885f25bdcf6dac3be52220	9078640	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689042980526000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-052	2024	1518	132c57f5dfac4ed608a26c13498f8e529558c6e7dc3cb9ad1368ef71c953129e	dd85e6db8eeb7f2f650b387c2aace93a5fee47174ad74562d098671e2945bce3	8271928	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689043267121000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-053	1518	2024	d1a15886de83cbfffd7712be1217bfad0781bea12c80a848e77b1abf97ff5356	52f50efbe6273ad07035a514e4bec2d40f91397e87bd84d8f7bbaeabf37650e7	7923438	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689043591430000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-054	1518	2024	0b9785ebea9ddc3393f7ff2a6e4cbe5fcd340cf6aacc39c1010fc999824daf77	5d52eff323b03d73926335640a230ccf535e82df2dc4f0a2b0bdcd0af26eea20	7051680	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689043919037000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-055	2024	1518	07f48d87da376d727c9a4cd9af3d3aeabf52490531694206988ab586ffe973d8	7798e8e982734c5522de5d71d2d979e24bdd4e529bd9ebb5c1c50f68c502ec06	7611432	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689044234811000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-056	1632	1224	b7cbb47ac2e0be203b4d7624c9d765ebd720ca7b0b103f0c1e7ec55494aab1b1	26b11f564d8800719083bf446959e544093f2c371a5bbe136dc8b2384d215ccd	5822720	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689044454351000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-057	1224	1632	3934360ff6912c7836af2ac9c3f1fdf62e9db77695a1810c1c506f05ea8a0554	8171f59f15f008f57264ef18a2521b975beee569e6c7a55630b81544a148db2e	5630838	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689044656033000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-058	1632	1224	19c5b18c2f283b86939784b4635550f3202b9af40704ce09091785ccae389cd0	8e8988059cf43e27e9157bfa0c426b253f27e4722a200265785891f0d7b970af	4540842	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689044880304000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-059	1632	1224	4d6e31a34b4014e7d963db95dbd86fbca4c0a2da802cc352106b95a99555a5a0	e0e99feca90bd231c78d84f3d5d478ab3b9553423f02d3d67af58d40a50c38a8	4391286	error	InvalidBitstream		VP8L Huffman tree has no symbols	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689045083422000/input.webp failed. Status: 3(BITSTREAM_ERROR)
clic-validation-060	1224	1632	40d7992206ddba29d09539ad633691cfdd1e458d9cb2cd00c1df29ed861a3b19	f4c2af1771e9853d00c81c6b8a6ba0fdcf927a9379065c72178d7d418c587d2d	5711044	error	InvalidBitstream		VP8L Huffman tree is incomplete	error	Decoding of /var/folders/n5/j8zr_m7j6k50wz_c8pp2hjpm0000gn/T/webp-color-transform-reproducer-25937-1784689045339648000/input.webp failed. Status: 3(BITSTREAM_ERROR)
